"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1222836630693785602","https://twitter.com/ShrutiTurner/status/1222836630693785602","@Lisa_Newington @ImperialMed Getting used to them and in a bit of limbo with set up. We should be settled soon. Looking forward to seeing you! :)","2020-01-30 10:59 +0000","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222828925858041856","https://twitter.com/ShrutiTurner/status/1222828925858041856","Got my ticket - anyone want to join me? #prosthetics #WW1 #amputation https://t.co/gZxce9bVnb","2020-01-30 10:28 +0000","308.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222826929692336130","https://twitter.com/ShrutiTurner/status/1222826929692336130","@RNOHnhs @UniKent @LegsDixon  Interested in going?","2020-01-30 10:20 +0000","129.0","3.0","0.023255813953488372","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222826543933730816","https://twitter.com/ShrutiTurner/status/1222826543933730816","@Lisa_Newington @ImperialMed Ooh, thank you! This does look interesting. I'll definitely take a look at my calendar and see if I can make it :) PS missing you in the new office :(","2020-01-30 10:19 +0000","135.0","4.0","0.02962962962962963","0.0","1.0","1.0","2.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222651743584112642","https://twitter.com/ShrutiTurner/status/1222651743584112642","@AcademicChatter To understand the value of a work life balance and take a break when my body/mind/efficiency etc. is screaming at me to do so.","2020-01-29 22:44 +0000","93.0","3.0","0.03225806451612903","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222585510532612098","https://twitter.com/ShrutiTurner/status/1222585510532612098","Note to self. https://t.co/nGgQ04Cn2y","2020-01-29 18:21 +0000","284.0","4.0","0.014084507042253521","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222543739266260993","https://twitter.com/ShrutiTurner/status/1222543739266260993","@OpenAcademics ""Hungry"" (this girl is 100% fueled by copious amounts of food) https://t.co/giWXwZo3v1","2020-01-29 15:35 +0000","240.0","15.0","0.0625","0.0","0.0","8.0","3.0","0.0","0.0","0.0","0.0","0","0","0","0","0","80","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222422363356180481","https://twitter.com/ShrutiTurner/status/1222422363356180481","@BGbeasor @AcademicChatter I didnt have any published papers from undergrad or masters. In fact, I am still pending a publication and I'm in 3rd year of my PhD. Publications are a good addition, but a good supervisor will see you as a person too. I feel it sets the tone for your academic career with them.","2020-01-29 07:32 +0000","157.0","2.0","0.012738853503184714","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222420848470110208","https://twitter.com/ShrutiTurner/status/1222420848470110208","@chelseanguyen__ @AcademicChatter You're definitely starting off with the right mindset. I swear a PhD is so long to give us time for unproductivity. Good luck!","2020-01-29 07:26 +0000","55.0","3.0","0.05454545454545454","0.0","0.0","0.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1222274399987957762","https://twitter.com/ShrutiTurner/status/1222274399987957762","@Tasia1409 @OpenAcademics @AcademicPlanet Feeling like I'm not doing enough..","2020-01-28 21:45 +0000","155.0","4.0","0.025806451612903226","1.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
